"nome","resumo","coordenador"
"IDEIALAB: PROMOVENDO O USO DE TECNOLOGIAS EMERGENTES PARA A SOLUÇÃO DE PROBLEMAS","Em breve este conteúdo estará disponível.","Mônica Maria Ferreira Da Costa "
"TRABALHO HUMANO: VARIÁVEL DE AÇÃO PARA O DESENVOLVIMENTO SUSTENTÁVEL","Em breve este conteúdo estará disponível.","Patricia Gomes Ferreira Da Costa "
"DESENVOLVIMENTO DE JOGOS EDUCACIONAIS PARA CAPACITAÇÃO NAS COMPETÊNCIAS DA ENG. DE PRODUÇÃO.","Em breve este conteúdo estará disponível.","Ricardo Miyashita "
"IMPLEMENTAÇÃO DA EDUCAÇÃO EMPREENDEDORA NA FACULDADE DE TECNOLOGIA DE RESENDE PARA APLICAÇÃO NA RED","Em breve este conteúdo estará disponível.","Rita De Cássia Da Silveira Marconcini Bittar "
